County		obs.M	exp.M	obs.F	exp.F	avg.M	avg.F
Aitkin	1	53	46.4	39	30.5	84.6	59.6
Anoka	2	346	334.1	331	266.4	75.6	58.8
Becker	3	68	62.2	37	45.7	79.8	39.1
Beltrami	4	59	60	42	45.7	72.9	43.6
Benton	5	40	45.1	21	36.3	62.4	28.2
Big Stone	6	20	15.6	12	11.8	90.7	54.9
Blue Earth	7	60	79	52	65.2	54.9	36.9
Brown	8	29	55	27	42	38.3	31.4
Carlton	9	58	58.9	49	45.6	70.6	53.6
Carver	10	61	76.1	43	59.3	59.2	34.1
Cass	11	84	69	36	44.5	86.7	38.3
Chippewa	12	29	28.7	12	23.2	72.5	25.6
Chisago	13	63	58	52	41.3	77.4	58.2
Clay	14	93	78.1	51	62.2	86.4	40.8
Clearwater	15	24	18.9	14	12.8	93	51.3
Cook	16	12	12.2	13	8.3	78.9	78.1
Cottonwood	17	24	29.2	14	22.9	61.7	33.3
Crow Wing	18	116	119.2	96	87.4	71.6	52.3
Dakota	19	366	394.3	314	317.6	67.1	46.5
Dodge	20	29	27.2	20	20.5	78.7	46.3
Douglas	21	78	71.1	36	53.4	79.6	30.1
Faribault	22	34	39	21	31	65	37.5
Fillmore	23	44	47.2	27	35.1	66.7	34.2
Freeborn	24	53	72.8	38	55.5	52.1	32.2
Goodhue	25	71	79.9	44	62.4	64.7	33.2
Grant	26	17	16.2	13	12	72.8	61.1
Hennepin	27	1551	1531	1461	1287.1	74	51.9
Houston	28	25	38.1	18	28.6	48.2	30.6
Hubbard	29	44	44.5	34	29.9	69.1	52.3
Isanti	30	40	45.9	25	35	62.9	33.4
Itasca	31	109	97.3	78	68.5	80.1	52.9
Jackson	32	18	26.3	10	19.5	47.7	24.5
Kanabec	33	29	29.1	17	20.1	72.2	38.8
Kandiyohi	34	71	75.3	53	57.4	68.4	44
Kittson	35	14	13.1	9	9.6	83.9	NA
Koochiching	36	34	31.9	27	24	77	54.3
Lac Qui Parle	37	17	21.1	10	15.4	59.2	33.1
Lake	38	42	28.9	22	19.3	105.4	51.7
Lake of the Woods	39	12	10.3	6	7.2	81.4	NA
Le Sueur	40	56	46.1	31	34.3	87.9	43.5
Lincoln	41	15	17.7	8	12.9	66	NA
Lyon	42	43	42.4	25	33.8	74.3	38.2
McLeod	43	43	58	33	47	53.8	33.3
Mahnomen	44	12	10.9	11	7.7	80.2	70.8
Marshall	45	19	23.7	14	16.8	58.2	39.6
Martin	46	54	47.9	29	39	81.5	33
Meeker	47	49	44.5	27	33	78.8	37.2
Mille Lacs	48	50	44.2	35	33.3	82	49.7
Morrison	49	62	60.4	38	45	73	38.3
Mower	50	108	83.1	79	66.5	95.3	56.8
Murray	51	25	22.9	6	16.8	78.6	NA
Nicollet	52	45	42	27	32.6	75.5	38
Nobles	53	34	41.2	16	32.3	59.9	24.6
Norman	54	19	18.2	11	13.2	75.8	38.6
Olmsted	55	185	175.7	131	141.6	77.7	43.2
Otter Tail	56	117	132.6	64	95.9	64.7	31.1
Pennington	57	18	24.9	13	20.2	53.4	31.7
Pine	58	75	53.6	50	37.1	98.5	62.7
Pipestone	59	16	22.3	8	18.1	50.6	NA
Polk	60	61	62.5	38	48.3	72.4	36.8
Pope	61	27	27.3	12	20.5	69.6	31.4
Ramsey	62	760	703.1	730	620.4	78.4	54.8
Red	63	7	9.8	7	7	NA	NA
Redwood	64	31	37.5	23	28.2	58.9	40.3
Renville	65	26	38	17	28.7	50.1	26.8
Rice	66	87	82	64	64	77.5	47.9
Rock	67	19	22.2	5	16.9	62.5	NA
Roseau	68	21	27.4	6	18.7	55.6	NA
St Louis	69	420	378.9	330	303.9	80.4	50.1
Scott	70	92	89.7	75	67.7	76.5	49.1
Sherburne	71	73	67.4	62	51	77.6	56.7
Sibley	72	20	30.3	15	22.4	47.6	31.8
Stearns	73	172	191.9	128	143.1	66.3	41.2
Steele	74	45	54.5	47	44	59.4	48.8
Stevens	75	12	18.7	11	14.7	47	34.9
Swift	76	33	24.6	15	19.3	100.6	35.8
Todd	77	50	50.1	31	36	72.4	37.6
Traverse	78	9	11.9	6	8.4	NA	NA
Wabasha	79	35	42.5	40	30.2	59.3	63.9
Wadena	80	30	31.2	25	24	70.8	52.9
Waseca	81	34	33.2	21	25.6	75	38.1
Washington	82	210	240.2	186	187.3	65	48.7
Watonwan	83	31	25.3	12	19.6	87.8	35.8
Wilkin	84	15	13.4	12	10.4	81.6	52.7
Winona	85	93	78.3	56	62	86.1	42.1
Wright	86	97	114	91	85.4	61	49.3
Yellow Medicine	87	23	25.1	18	19.5	69.5	47.7

