county radon
1 1
1 2.2
1 2.2
1 2.9
2 2.4
2 0.5
2 4.2
2 1.8
2 2.5
2 5.4
2 2.2
2 4
2 1.1
2 1.5
2 5.4
2 6.3
2 1
2 1.9
2 1.7
2 0.7
2 1.1
2 6.6
2 3.1
2 2.3
2 1.4
2 2.9
2 2.9
2 3.1
2 1.9
2 4.5
2 6.8
2 1.3
2 0.6
2 1.2
2 1.4
2 1.8
2 7
2 3.3
2 1.2
2 7.7
2 5.2
2 4.5
2 2.1
2 4.4
2 2.9
2 5.9
2 1.8
2 2.2
2 3.3
2 2.8
2 0.5
2 1.1
2 8.1
2 1.7
2 1.4
2 1.6
2 9.6
2 6.7
2 3.5
2 1.7
2 7.4
3 1.2
3 4.3
3 4.5
3 2.7
4 0.5
4 6.3
4 4.6
4 1.5
4 2.4
4 4.6
4 5.7
5 2.7
5 6.6
5 2.9
5 2.9
6 7.2
6 5
6 2.6
7 1.8
7 6.9
7 5
7 13
7 7.2
7 6.8
7 4.7
7 12.8
7 5.8
7 2
7 9.5
7 3.8
7 14.3
7 4.6
8 2.5
8 6.7
8 4
8 10.1
9 0.8
9 1.3
9 4.2
9 2.2
9 1.8
9 3.4
9 5.6
9 4.3
9 2
9 3.9
9 4.7
10 9.6
10 4.4
10 1.6
10 12.9
10 0.5
10 14.7
11 7.4
11 1.9
11 3.7
11 4
11 5.3
12 7.7
12 1.4
12 10
12 9.4
12 2.7
13 0.8
13 4.4
13 5
13 2.1
13 8.1
13 1.7
14 13
14 0.9
14 8.8
14 3.5
14 19.5
14 26.6
14 1.5
14 2.5
14 12.9
14 9
14 2.6
14 13.1
14 3.6
14 6.9
14 10.8
15 4.8
15 3.4
15 0.9
15 3.4
16 2.7
16 1.4
17 0.5
17 2.5
17 6.8
17 11.1
18 4.4
18 4.3
18 5.5
18 1.8
18 1.5
18 6.7
18 1.6
18 2.9
18 1
18 4.1
18 2.5
18 0.9
19 8
19 3.6
19 6.8
19 1.4
19 2.3
19 1.6
19 8.8
19 2.6
19 2.8
19 4.3
19 4.4
19 2.8
19 6.5
19 1.7
19 4.4
19 4.6
19 3.3
19 3.6
19 1.7
19 21.2
19 4.8
19 2.8
19 9.1
19 1.4
19 4.8
19 6
19 3.4
19 8.2
19 4.5
19 0.9
19 2
19 4.9
19 1.4
19 0.8
19 2.2
19 2
19 0.5
19 1.1
19 5
19 1.1
19 1.4
19 4.2
19 7.6
19 5.1
19 1.9
19 3.2
19 5.4
19 1.5
19 9.6
19 8.1
19 3.6
19 4.9
19 10.8
19 8.7
19 5.8
19 2.5
19 3.5
19 14.6
19 3.8
19 8.8
19 6.3
19 6.7
19 4.7
19 2.3
19 2.9
19 0.7
19 2.4
19 7.2
19 8.9
20 7.2
20 5.4
20 5.7
21 7.4
21 4.8
21 7.8
21 6.8
21 5.5
21 6.4
21 4.4
21 2.7
21 2.7
21 4.2
21 4.7
22 1.3
22 3.4
22 5.2
22 2.3
22 4.2
22 0.5
23 3.2
23 2.5
24 32.6
24 6.3
24 2.2
24 3.2
24 5.6
24 13.2
24 9.6
24 4.2
24 9
24 1.9
25 6.7
25 5.6
25 14.3
25 6.9
25 2.6
25 3.5
25 3.5
25 43.5
25 3.9
25 9.8
25 4.9
25 7.6
25 4.9
25 4.8
25 1.9
27 7.2
27 4.6
27 5.1
27 4.9
27 2.1
27 1.5
27 2.8
27 5.5
27 2.7
27 16.5
27 2.8
27 2.5
27 2
27 3.9
27 3.1
27 4.1
27 3.9
27 2.4
27 7.9
27 7.6
27 2.6
27 3
27 3.9
27 1.7
27 4.7
27 14.9
27 6
27 8.6
27 5.6
27 1.6
27 3.3
27 4
27 2.6
27 3.6
27 4
27 1.8
27 3
27 1.8
27 3.8
27 4.3
27 7.4
27 3.8
27 4.3
27 2.5
27 2.3
27 1.3
27 3.6
27 3.9
27 5.7
27 5.4
27 1.9
27 3.3
27 4.6
27 5.5
27 2.1
27 4.6
27 3.3
27 0.9
27 1.8
27 8.6
27 3
27 5.7
27 6.2
27 8.4
27 6
27 5.6
27 13.8
27 10.9
27 3.2
27 5.6
27 11.2
27 3
27 4.5
27 5.9
27 7.6
27 13
27 4.7
27 4.2
27 0.5
27 2.9
27 3
